Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome	TSG_Score	TSG_Rank	TUSON_p_value_OG	TUSON_q_value_OG	OG_Probability_LASSO	Chromosome	OG_Score	OG_Rank
LTBP3	0.072082629	0.95086965	0.263460667	11	0.021879014	1287	0.94138444	0.996579628	0.337056759	11	0.001487995	16165
USP9Y	0.07223435	0.951078157	0.644525534	Y	0.021783792	1288	0.385753353	0.896384179	0.085189888	Y	0.047505817	7852
C11orf52	0.07249187	0.952233225	0.786392314	11	0.021256669	1289	0.949979573	0.996579628	0.151912679	11	0.001487995	18052
FAM98A	0.072461774	0.952233225	0.473435663	2	0.021256669	1290	0.16924187	0.750538674	0.277545719	2	0.124626924	4023
TET3	0.072800159	0.952681886	0.488601957	2	0.021052092	1291	0.595930983	0.996579628	0.157751335	2	0.001487995	18020
MAP3K12	0.072832043	0.952681886	0.397583893	12	0.021052092	1292	0.156408965	0.741701713	0.288310311	12	0.129770718	3758
RPP40	0.07278266	0.952681886	0.390217025	6	0.021052092	1293	0.884761106	0.996579628	0.350740508	6	0.001487995	16018
TIMM17B	0.072756507	0.952681886	0.208542718	X	0.021052092	1294	0.962642838	0.996579628	0.424217283	X	0.001487995	14984
C7orf63	0.072825234	0.952681886	0.186086227	7	0.021052092	1295	0.513811643	0.959963306	0.521975642	7	0.017745367	9727
LGR4	0.073117977	0.955752753	0.428129768	11	0.019654442	1296	0.078590036	0.6334356	0.353191537	11	0.198297532	2183
TMCO6	0.073182358	0.955925354	0.223462177	5	0.019576019	1297	0.362910179	0.883461387	0.514604553	5	0.053812427	7413
ABCF2	0.073388237	0.956607736	0.544932319	7	0.019266111	1298	0.234270706	0.800713902	0.361548576	7	0.096522631	5300
CC2D2B	0.073579018	0.957757829	0.638812766	10	0.018744289	1299	0.971772317	0.996579628	0.10397938	10	0.001487995	18257
KRTAP1-5	0.073776922	0.957843014	0.5363988	17	0.018705664	1300	0.991716185	0.996579628	0.508955386	17	0.001487995	13185
RABEP2	0.073656437	0.957843014	0.395429939	16	0.018705664	1301	0.933219549	0.996579628	0.305846598	16	0.001487995	16557
CHRNB2	0.073790679	0.957843014	0.100689739	1	0.018705664	1302	0.02645202	0.471917167	0.768376185	1	0.326134224	958
HIATL1	0.073963724	0.958756696	0.567032248	9	0.01829159	1303	0.155008961	0.739852425	0.139794169	9	0.130854898	3748
CNOT4	0.074024664	0.958881208	0.364476782	7	0.018235193	1304	0.039914486	0.529948412	0.47374276	7	0.275766405	1297
M1AP	0.074245873	0.959325621	0.506155512	2	0.018033957	1305	0.971521479	0.996579628	0.142604924	2	0.001487995	18110
UBQLN1	0.074163148	0.959325621	0.492214963	9	0.018033957	1306	0.332966588	0.86337043	0.149222803	9	0.06380283	7085
FOXJ3	0.074264406	0.959325621	0.275037696	1	0.018033957	1307	0.122311825	0.700745967	0.620480869	1	0.154439393	3094
ISOC2	0.074471616	0.960673557	0.579336928	19	0.017424163	1308	0.880253731	0.996579628	0.198080817	19	0.001487995	17662
PCNXL3	0.074445709	0.960673557	0.36144703	11	0.017424163	1309	0.374955687	0.890211057	0.280311531	11	0.050507016	7609
PHF11	0.074700024	0.961627674	0.604297821	13	0.016993047	1310	0.971772317	0.996579628	0.202909465	13	0.001487995	17616
TMEM44	0.074652112	0.961627674	0.308258927	3	0.016993047	1311	0.972605457	0.996579628	0.690472945	3	0.001487995	10439
G2E3	0.075124752	0.964028501	0.477322732	14	0.015910126	1312	0.230877148	0.797587247	0.476120168	14	0.098221799	5195
SOBP	0.075196184	0.964028501	0.422052205	6	0.015910126	1313	0.933270585	0.996579628	0.19928003	6	0.001487995	17659
SPAG1	0.075153676	0.964028501	0.355071536	8	0.015910126	1314	0.254375367	0.81082134	0.825502054	8	0.09107483	5636
KIF13A	0.075031756	0.964028501	0.295791482	6	0.015910126	1315	0.449771487	0.924658479	0.473516359	6	0.034018644	8800
ARID4A	0.075671702	0.965367842	0.470115273	14	0.015307172	1316	0.330672769	0.862417853	0.263849459	14	0.064282262	6914
DUSP6	0.075691867	0.965367842	0.335289925	12	0.015307172	1317	0.970802182	0.996579628	0.28891308	12	0.001487995	16759
FAM177B	0.075692908	0.965367842	0.319478648	1	0.015307172	1318	0.986237367	0.996579628	0.53448531	1	0.001487995	12544
TAS2R50	0.075714111	0.965367842	0.311602647	12	0.015307172	1319	0.248447208	0.804846582	0.660062652	12	0.094286896	5506
C5orf54	0.075554765	0.965367842	0.210356795	5	0.015307172	1320	0.172755872	0.755538969	0.503388674	5	0.121743131	4079
COPB2	0.075458584	0.965367842	0.108768795	3	0.015307172	1321	0.43107051	0.915000308	0.550386398	3	0.03857876	8532
RAB6A	0.075932603	0.96617513	0.567595966	11	0.014944146	1322	0.989557698	0.996579628	0.43177606	11	0.001487995	14850
ZNF365	0.075899909	0.96617513	0.544927252	10	0.014944146	1323	0.500223892	0.94740369	0.164625504	10	0.023464928	9579
MAP7	0.076174522	0.96624536	0.812180491	6	0.014912579	1324	0.090016088	0.651803809	0.154862544	6	0.185883106	2452
ZNF140	0.076397938	0.96624536	0.715704417	12	0.014912579	1325	0.991716185	0.996579628	0.177647207	12	0.001487995	17880
PRAMEF18	0.076129174	0.96624536	0.613009567	1	0.014912579	1326	0.465330988	0.930512529	0.151737422	1	0.031277775	9063
SRFBP1	0.076403683	0.96624536	0.527717395	5	0.014912579	1327	0.626485442	0.996579628	0.232482125	5	0.001487995	17347
KDR	0.076077803	0.96624536	0.355400704	4	0.014912579	1328	0.078410978	0.633092997	0.477352295	4	0.19853249	2172
MRPL51	0.076239608	0.96624536	0.336980189	12	0.014912579	1329	0.236737751	0.800713902	0.702473588	12	0.096522631	5230
ELP5	0.076401725	0.96624536	0.152426083	17	0.014912579	1330	0.905852825	0.996579628	0.42971459	17	0.001487995	14896
ACTN4	0.076480015	0.966556296	0.183854907	19	0.014772846	1331	0.457862189	0.925886478	0.544076131	19	0.033442258	8962
ZNF256	0.076537714	0.966631485	0.625401456	19	0.014739063	1332	0.975851911	0.996579628	0.169091025	19	0.001487995	17943
LARP1B	0.076619405	0.967009365	0.45565606	4	0.01456932	1333	0.169038165	0.750538674	0.176917765	4	0.124626924	4025
MOG	0.077148247	0.96819316	0.5176692	6	0.01403799	1334	0.942850135	0.996579628	0.277095345	6	0.001487995	16878
KIF20B	0.077037013	0.96819316	0.444053836	10	0.01403799	1335	0.006327416	0.270457214	0.422514222	10	0.56790143	384
USP40	0.077088544	0.96819316	0.44121883	2	0.01403799	1336	0.388995598	0.896384179	0.256369076	2	0.047505817	7844
CENPL	0.076951284	0.96819316	0.204436706	1	0.01403799	1337	0.264952815	0.820239368	0.543321392	1	0.08605939	5806
SIVA1	0.077341669	0.968539227	0.477067532	14	0.013882785	1338	0.975296828	0.996579628	0.293852779	14	0.001487995	16703
LRRIQ3	0.077537591	0.969405275	0.575813324	1	0.013494621	1339	0.222415615	0.789471916	0.412113401	1	0.102663315	5054
ASPN	0.077772529	0.970416214	0.329579318	9	0.013041956	1340	0.403513389	0.907709833	0.310783041	9	0.04205296	8072
PTHLH	0.077862341	0.970888295	0.482160485	12	0.012830735	1341	0.967219322	0.996579628	0.446876044	12	0.001487995	14565
SLC9A3R1	0.07791517	0.970898909	0.551768442	17	0.012825987	1342	0.962642838	0.996579628	0.316809386	17	0.001487995	16409
NAA16	0.078105708	0.971439454	0.777265078	13	0.012584262	1343	0.433228997	0.915000308	0.331638053	13	0.03857876	8581
ELL2	0.078254359	0.971439454	0.716444218	5	0.012584262	1344	0.221452711	0.789260672	0.099669619	5	0.102779537	5032
GNRH2	0.078270592	0.971439454	0.657226274	20	0.012584262	1345	0.991716185	0.996579628	0.295406702	20	0.001487995	16684
CYBB	0.078238644	0.971439454	0.60460386	X	0.012584262	1346	0.312527981	0.853881396	0.186170232	X	0.068602449	6595
SERAC1	0.078128651	0.971439454	0.531441679	6	0.012584262	1347	0.145992028	0.728009189	0.138107567	6	0.137863139	3579
PPP1R14A	0.078214837	0.971439454	0.170660848	19	0.012584262	1348	0.574221993	0.996579628	0.535477174	19	0.001487995	12512
ZNF440	0.078330951	0.971543052	0.522840425	19	0.01253795	1349	0.944317221	0.996579628	0.342240486	19	0.001487995	16113
SPG11	0.078493941	0.972918597	0.5770985	15	0.011923495	1350	0.792575434	0.996579628	0.14947343	15	0.001487995	18066
LPAR2	0.078583089	0.973377665	0.111740432	19	0.011718623	1351	0.987188067	0.996579628	0.593121131	19	0.001487995	11302
IRF1	0.078666229	0.973761752	0.267415055	5	0.011547288	1352	0.901428675	0.996579628	0.358085441	5	0.001487995	15907
CCDC148	0.079759676	0.974856983	0.842751376	2	0.011059093	1353	0.514945092	0.959963306	0.264008246	2	0.017745367	9744
APEH	0.127573779	0.974856983	0.840590265	3	0.011059093	1354	0.337326615	0.86337043	0.127323685	3	0.06380283	7088
MGEA5	0.079546568	0.974856983	0.831380719	10	0.011059093	1355	0.940073662	0.996579628	0.077405434	10	0.001487995	18278
OTOGL	0.079812858	0.974856983	0.82678463	12	0.011059093	1356	0.978468288	0.996579628	0.077291364	12	0.001487995	18279
DNAL1	0.128415611	0.974856983	0.812817806	14	0.011059093	1357	0.988952328	0.996579628	0.235289374	14	0.001487995	17322
HMGXB4	0.08868202	0.974856983	0.808740647	22	0.011059093	1358	0.989239589	0.996579628	0.16198476	22	0.001487995	17992
AP1S1	0.09307499	0.974856983	0.803690905	7	0.011059093	1359	0.734163042	0.996579628	0.306145656	7	0.001487995	16552
DEFB118	0.104959448	0.974856983	0.78517543	20	0.011059093	1360	0.471241429	0.933734874	0.311101239	20	0.02977642	9139
CTU2	0.090918289	0.974856983	0.781740345	16	0.011059093	1361	0.975851911	0.996579628	0.195501299	16	0.001487995	17697
CRYZ	0.082707427	0.974856983	0.780825574	1	0.011059093	1362	0.984848254	0.996579628	0.169830922	1	0.001487995	17936
C11orf57	0.107109646	0.974856983	0.779014677	11	0.011059093	1363	0.126223055	0.704849162	0.123615509	11	0.151903812	3177
RNF128	0.24347559	0.974856983	0.778753559	X	0.011059093	1364	0.570323779	0.996579628	0.189765588	X	0.001487995	17766
ERCC6L2	0.128030579	0.974856983	0.771766251	9	0.011059093	1365	0.5277512	0.967500703	0.101257048	9	0.014348711	9900
GNL3	0.226988537	0.974856983	0.769653519	3	0.011059093	1366	0.991716185	0.996579628	0.197018037	3	0.001487995	17673
PARVG	0.153992586	0.974856983	0.765515465	22	0.011059093	1367	0.995142328	0.996579628	0.198056247	22	0.001487995	17663
TSPYL4	0.151624235	0.974856983	0.762242827	6	0.011059093	1368	0.477060114	0.939652344	0.203660456	6	0.027032799	9204
OR52M1	0.113025672	0.974856983	0.759503286	11	0.011059093	1369	0.142656747	0.72499639	0.183200564	11	0.139664156	3501
SYCP1	0.104272127	0.974856983	0.75648694	1	0.011059093	1370	0.066903578	0.612166666	0.158458677	1	0.213130323	1939
AP2A2	0.095762789	0.974856983	0.753943734	11	0.011059093	1371	0.944740849	0.996579628	0.086687371	11	0.001487995	18276
PLCE1	0.139651968	0.974856983	0.749869273	10	0.011059093	1372	0.590658016	0.996579628	0.180118341	10	0.001487995	17864
SLC25A5	0.136817471	0.974856983	0.74377828	X	0.011059093	1373	0.991716185	0.996579628	0.235317524	X	0.001487995	17321
RP2	0.112135599	0.974856983	0.742462721	X	0.011059093	1374	0.681005032	0.996579628	0.350715802	X	0.001487995	16019
EPS8L2	0.096155907	0.974856983	0.742355323	11	0.011059093	1375	0.446544143	0.924658479	0.18760301	11	0.034018644	8925
CETN3	0.102941945	0.974856983	0.741522742	5	0.011059093	1376	0.966239637	0.996579628	0.176286707	5	0.001487995	17889
CDKL2	0.216466702	0.974856983	0.741004813	4	0.011059093	1377	0.991716185	0.996579628	0.227432147	4	0.001487995	17399
PET112	0.190067683	0.974856983	0.739469492	4	0.011059093	1378	0.487383034	0.947340727	0.187752222	4	0.023493792	9572
FXR2	0.088716499	0.974856983	0.738523747	17	0.011059093	1379	0.226022673	0.792691985	0.225403153	17	0.100895533	5115
MSLNL	0.154679202	0.974856983	0.737055441	16	0.011059093	1380	0.344803766	0.870550057	0.226831088	16	0.060206252	7150
ANKRD7	0.170336656	0.974856983	0.733368517	7	0.011059093	1381	0.494335534	0.947340727	0.3084607	7	0.023493792	9519
UBE2D1	0.091069774	0.974856983	0.732136	10	0.011059093	1382	0.985123649	0.996579628	0.148199712	10	0.001487995	18079
ZNF564	0.142212248	0.974856983	0.731008282	19	0.011059093	1383	0.335192954	0.86337043	0.398779293	19	0.06380283	7043
ATXN3	0.110013266	0.974856983	0.730486453	14	0.011059093	1384	0.967219322	0.996579628	0.137179682	14	0.001487995	18131
FAM160B1	0.089085898	0.974856983	0.730075931	10	0.011059093	1385	0.158830407	0.74181056	0.237628362	10	0.129706989	3902
DSN1	0.099963596	0.974856983	0.721817977	20	0.011059093	1386	0.992416596	0.996579628	0.34530667	20	0.001487995	16083
BIN3	0.163696324	0.974856983	0.71919086	8	0.011059093	1387	0.991716185	0.996579628	0.221182375	8	0.001487995	17448
SPATA1	0.21302277	0.974856983	0.714871827	1	0.011059093	1388	0.991716185	0.996579628	0.156854289	1	0.001487995	18026
LYAR	0.12864995	0.974856983	0.71407278	4	0.011059093	1389	0.973202749	0.996579628	0.187871532	4	0.001487995	17782
LYSMD3	0.117144753	0.974856983	0.712086201	5	0.011059093	1390	0.991716185	0.996579628	0.163209239	5	0.001487995	17984
EME2	0.081341326	0.974856983	0.711841729	16	0.011059093	1391	0.971772317	0.996579628	0.269928344	16	0.001487995	16966
TBC1D1	0.082587093	0.974856983	0.709539368	4	0.011059093	1392	0.46453061	0.930206611	0.142621863	4	0.031420578	9050
TMA16	0.121590461	0.974856983	0.709437008	4	0.011059093	1393	0.202407459	0.777935994	0.125858325	4	0.109056134	4659
TMX1	0.08031292	0.974856983	0.700521545	14	0.011059093	1394	0.139062697	0.718516019	0.327215527	14	0.143563545	3445
PRR11	0.225076504	0.974856983	0.697535467	17	0.011059093	1395	0.991716185	0.996579628	0.332534197	17	0.001487995	16231
MSANTD3	0.16378593	0.974856983	0.69541361	9	0.011059093	1396	0.991716185	0.996579628	0.167962287	9	0.001487995	17953
INF2	0.117751181	0.974856983	0.688459273	14	0.011059093	1397	0.981207766	0.996579628	0.301439385	14	0.001487995	16624
BCKDHB	0.080051681	0.974856983	0.686831182	6	0.011059093	1398	0.980764844	0.996579628	0.106718932	6	0.001487995	18249
SLFN13	0.112859191	0.974856983	0.685204227	17	0.011059093	1399	0.314996084	0.856989076	0.161739672	17	0.067024714	6783
LIAS	0.158433813	0.974856983	0.683117361	4	0.011059093	1400	0.217847702	0.785586108	0.188992252	4	0.104806205	4970
SIRT6	0.142091058	0.974856983	0.681737129	19	0.011059093	1401	0.981666054	0.996579628	0.132017984	19	0.001487995	18152
STRN	0.095139876	0.974856983	0.680403102	2	0.011059093	1402	0.547204196	0.9866385	0.178671233	2	0.005841942	10067
CEP55	0.151497082	0.974856983	0.675652604	10	0.011059093	1403	0.265728847	0.8210194	0.251739641	10	0.085646581	5854
ADH5	0.081928954	0.974856983	0.674795769	4	0.011059093	1404	0.285531301	0.832390399	0.095378342	4	0.079672938	6188
HTN1	0.083901831	0.974856983	0.673387325	4	0.011059093	1405	0.956280207	0.996579628	0.161283623	4	0.001487995	17998
DDX27	0.111526691	0.974856983	0.672670542	20	0.011059093	1406	0.685953792	0.996579628	0.396943357	20	0.001487995	15389
SDC3	0.081858159	0.974856983	0.672007667	1	0.011059093	1407	0.522987085	0.962925161	0.230572523	1	0.016407465	9857
OR6C74	0.221003274	0.974856983	0.671137327	12	0.011059093	1408	0.991729348	0.996579628	0.210229642	12	0.001487995	17543
BID	0.090742118	0.974856983	0.664163331	22	0.011059093	1409	0.966239637	0.996579628	0.126256841	22	0.001487995	18186
ZNF226	0.092406002	0.974856983	0.662276153	19	0.011059093	1410	0.950678291	0.996579628	0.176964161	19	0.001487995	17884
NPRL2	0.086728948	0.974856983	0.662212738	3	0.011059093	1411	0.95936352	0.996579628	0.102988697	3	0.001487995	18261
RNF181	0.100621853	0.974856983	0.661297604	2	0.011059093	1412	0.33816244	0.86337043	0.127137189	2	0.06380283	7089
ARMCX3	0.195345786	0.974856983	0.658968031	X	0.011059093	1413	0.996313989	0.996579628	0.190719097	X	0.001487995	17750
NREP	0.183370782	0.974856983	0.6585151	5	0.011059093	1414	0.601859427	0.996579628	0.176026753	5	0.001487995	17891
UBE2E3	0.10978121	0.974856983	0.658023303	2	0.011059093	1415	0.983446295	0.996579628	0.196332382	2	0.001487995	17686
GLE1	0.101206725	0.974856983	0.657636711	9	0.011059093	1416	0.973675333	0.996579628	0.113646039	9	0.001487995	18226
DDA1	0.110258612	0.974856983	0.656457207	19	0.011059093	1417	0.991716185	0.996579628	0.249582213	19	0.001487995	17176
XAGE5	0.197225301	0.974856983	0.655928752	X	0.011059093	1418	0.991716185	0.996579628	0.213806093	X	0.001487995	17515
DOK7	0.113050823	0.974856983	0.655378728	4	0.011059093	1419	0.968525393	0.996579628	0.121547677	4	0.001487995	18207
KNOP1	0.133924325	0.974856983	0.653381158	16	0.011059093	1420	0.973202749	0.996579628	0.186152234	16	0.001487995	17803
USP1	0.078984584	0.974856983	0.651812274	1	0.011059093	1421	0.968447253	0.996579628	0.24588147	1	0.001487995	17209
TRMT5	0.174826671	0.974856983	0.651006667	14	0.011059093	1422	0.471241429	0.933734874	0.25690668	14	0.02977642	9142
TRABD	0.090191635	0.974856983	0.650360598	22	0.011059093	1423	0.979225052	0.996579628	0.10497706	22	0.001487995	18254
MESDC2	0.114854649	0.974856983	0.645976861	15	0.011059093	1424	0.962589921	0.996579628	0.187838801	15	0.001487995	17783
CISH	0.119090668	0.974856983	0.645153829	3	0.011059093	1425	0.953410303	0.996579628	0.112331491	3	0.001487995	18232
FAM166B	0.09493228	0.974856983	0.644454948	9	0.011059093	1426	0.337213994	0.86337043	0.271052233	9	0.06380283	7063
FOXA2	0.084228548	0.974856983	0.643475993	20	0.011059093	1427	0.302135212	0.846602662	0.320282898	20	0.07232037	6435
KLHL15	0.088022423	0.974856983	0.639718714	X	0.011059093	1428	0.43535717	0.915976186	0.188661528	X	0.038115817	8606
BRD2	0.101620572	0.974856983	0.634887133	6	0.011059093	1429	0.957171119	0.996579628	0.234628207	6	0.001487995	17327
GINS1	0.090998947	0.974856983	0.633532776	20	0.011059093	1430	0.068590425	0.613398343	0.264449311	20	0.212257402	1965
REPS2	0.128382917	0.974856983	0.631424098	X	0.011059093	1431	0.384874714	0.896350681	0.356428096	X	0.047522047	7758
CHADL	0.124155496	0.974856983	0.630700633	22	0.011059093	1432	0.684727851	0.996579628	0.102262807	22	0.001487995	18263
WDR77	0.12652355	0.974856983	0.629837601	1	0.011059093	1433	0.986237367	0.996579628	0.12979082	1	0.001487995	18167
PAQR6	0.084985494	0.974856983	0.62896189	1	0.011059093	1434	0.978468288	0.996579628	0.433309935	1	0.001487995	14826
COG8	0.084633067	0.974856983	0.626432712	16	0.011059093	1435	0.970802182	0.996579628	0.129694181	16	0.001487995	18168
SZRD1	0.114722939	0.974856983	0.626227031	1	0.011059093	1436	0.418339702	0.912342592	0.1333154	1	0.03984205	8479
LAT	0.085262351	0.974856983	0.625498629	16	0.011059093	1437	0.956305452	0.996579628	0.169624935	16	0.001487995	17938
UXT	0.103590969	0.974856983	0.624173134	X	0.011059093	1438	0.991716185	0.996579628	0.311088936	X	0.001487995	16489
CNKSR3	0.084365275	0.974856983	0.619320912	6	0.011059093	1439	0.899750005	0.996579628	0.121729707	6	0.001487995	18206
PRH1	0.158640506	0.974856983	0.614284357	12	0.011059093	1440	0.989163961	0.996579628	0.303430616	12	0.001487995	16593
FCHO2	0.086789983	0.974856983	0.612009113	5	0.011059093	1441	0.954940089	0.996579628	0.108304196	5	0.001487995	18246
C21orf91	0.144198715	0.974856983	0.610456176	21	0.011059093	1442	0.975296828	0.996579628	0.268756873	21	0.001487995	16978
NONO	0.094997872	0.974856983	0.60860288	X	0.011059093	1443	0.372167061	0.889306452	0.252571678	X	0.050948557	7559
OR11H1	0.210395479	0.974856983	0.606882559	22	0.011059093	1444	0.449159513	0.924658479	0.188962148	22	0.034018644	8923
GOLGA4	0.095364353	0.974856983	0.606860024	3	0.011059093	1445	0.394235445	0.901226761	0.139345996	3	0.045165921	7910
GBGT1	0.084993341	0.974856983	0.605875908	9	0.011059093	1446	0.941766997	0.996579628	0.144760853	9	0.001487995	18100
DCLRE1B	0.145532018	0.974856983	0.60304249	1	0.011059093	1447	0.459643647	0.926541449	0.142940371	1	0.033135148	8991
SUPT7L	0.113980298	0.974856983	0.601402389	2	0.011059093	1448	0.983996757	0.996579628	0.166784627	2	0.001487995	17959
HNRNPC	0.148614907	0.974856983	0.599527922	14	0.011059093	1449	0.991716185	0.996579628	0.284881777	14	0.001487995	16803
ZFHX2	0.211702157	0.974856983	0.598301546	14	0.011059093	1450	0.684727851	0.996579628	0.20493306	14	0.001487995	17603
PCM1	0.136318758	0.974856983	0.59775509	8	0.011059093	1451	0.978271631	0.996579628	0.170225655	8	0.001487995	17934
BZW1	0.178522021	0.974856983	0.595947486	2	0.011059093	1452	0.992034411	0.996579628	0.192229311	2	0.001487995	17730
TBC1D12	0.080205698	0.974856983	0.595297506	10	0.011059093	1453	0.962148761	0.996579628	0.106891825	10	0.001487995	18248
SAT1	0.083867671	0.974856983	0.59353041	X	0.011059093	1454	0.173930045	0.756891692	0.197283597	X	0.120966262	4109
ASCL3	0.181602895	0.974856983	0.591850767	11	0.011059093	1455	0.995497752	0.996579628	0.115589633	11	0.001487995	18220
GIPC3	0.170731176	0.974856983	0.591847611	19	0.011059093	1456	0.995160565	0.996579628	0.14846544	19	0.001487995	18074
TSC1	0.123707927	0.974856983	0.591169832	9	0.011059093	1457	0.614137684	0.996579628	0.274928131	9	0.001487995	16909
TTC16	0.10604884	0.974856983	0.585812238	9	0.011059093	1458	0.390372339	0.89744799	0.227187375	9	0.046990711	7865
HOXD8	0.090196508	0.974856983	0.585422815	2	0.011059093	1459	0.986237367	0.996579628	0.229127948	2	0.001487995	17382
STRA8	0.092497305	0.974856983	0.583256818	7	0.011059093	1460	0.988013981	0.996579628	0.326884755	7	0.001487995	16300
GNG12	0.11996281	0.974856983	0.581818373	1	0.011059093	1461	0.982238141	0.996579628	0.209216625	1	0.001487995	17550
C14orf28	0.092986744	0.974856983	0.58025317	14	0.011059093	1462	0.947126067	0.996579628	0.288232207	14	0.001487995	16768
DPAGT1	0.139412863	0.974856983	0.579483033	11	0.011059093	1463	0.990482325	0.996579628	0.26785058	11	0.001487995	16990
NSUN7	0.158614744	0.974856983	0.57729914	4	0.011059093	1464	0.980004693	0.996579628	0.181366837	4	0.001487995	17851
KRT19	0.174336092	0.974856983	0.574699487	17	0.011059093	1465	0.398848182	0.90509681	0.475251815	17	0.043304966	7967
NYX	0.087406851	0.974856983	0.574120621	X	0.011059093	1466	0.968525393	0.996579628	0.155600441	X	0.001487995	18033
REPS1	0.080333756	0.974856983	0.574085603	6	0.011059093	1467	0.162725133	0.74181056	0.325686084	6	0.129706989	3890
PLEKHG1	0.092862192	0.974856983	0.573724524	6	0.011059093	1468	0.188785037	0.768493807	0.294898229	6	0.114359628	4437
CGRRF1	0.198326373	0.974856983	0.570314893	14	0.011059093	1469	0.357017542	0.878428083	0.190949577	14	0.056293788	7347
NEK4	0.088057788	0.974856983	0.569245766	3	0.011059093	1470	0.148233063	0.732305049	0.162908148	3	0.135307972	3602
CYP3A7	0.090733578	0.974856983	0.567380785	7	0.011059093	1471	0.335929466	0.86337043	0.41867114	7	0.06380283	7037
IKZF2	0.094359094	0.974856983	0.565606175	2	0.011059093	1472	0.355690178	0.878428083	0.216499155	2	0.056293788	7344
OR8I2	0.14586602	0.974856983	0.564537322	11	0.011059093	1473	0.428224862	0.912689662	0.283319156	11	0.039676869	8493
USP22	0.090140963	0.974856983	0.563160775	17	0.011059093	1474	0.195246242	0.773880411	0.21355098	17	0.111326146	4517
ZNF729	0.157487523	0.974856983	0.562969316	19	0.011059093	1475	0.684727851	0.996579628	0.206192418	19	0.001487995	17584
LOC728819	0.231591073	0.974856983	0.56254782	2	0.011059093	1476	0.991716185	0.996579628	0.248349	2	0.001487995	17187
SATL1	0.198998542	0.974856983	0.559624353	X	0.011059093	1477	0.679517526	0.996579628	0.218626687	X	0.001487995	17465
TRMT112	0.264479647	0.974856983	0.559476756	11	0.011059093	1478	0.991716185	0.996579628	0.193502366	11	0.001487995	17718
BAGE2	0.104421497	0.974856983	0.557814934	21	0.011059093	1479	0.040132342	0.530439846	0.527762263	21	0.27536386	1308
CLECL1	0.139120862	0.974856983	0.557514894	12	0.011059093	1480	0.991716185	0.996579628	0.392538849	12	0.001487995	15457
ZNF791	0.132788812	0.974856983	0.552743811	19	0.011059093	1481	0.979733166	0.996579628	0.238553006	19	0.001487995	17290
NCAPG	0.108732229	0.974856983	0.551357245	4	0.011059093	1482	0.307027149	0.849875535	0.296425697	4	0.070644672	6506
EXOSC10	0.181181554	0.974856983	0.550554718	1	0.011059093	1483	0.669566859	0.996579628	0.184916592	1	0.001487995	17815
RAN	0.200909769	0.974856983	0.550251333	12	0.011059093	1484	0.994467778	0.996579628	0.195962746	12	0.001487995	17693
AASDH	0.093134649	0.974856983	0.549961991	4	0.011059093	1485	0.406623551	0.908096761	0.228869011	4	0.041867873	8098
PHF13	0.109035635	0.974856983	0.549244116	1	0.011059093	1486	0.519766891	0.961314225	0.213785096	1	0.017134631	9830
PTCD3	0.115914793	0.974856983	0.549212083	2	0.011059093	1487	0.216542178	0.783874291	0.183628102	2	0.105753579	4953
MAGEA3	0.108053993	0.974856983	0.547438038	X	0.011059093	1488	0.991716185	0.996579628	0.395847546	X	0.001487995	15407
RDH5	0.118797482	0.974856983	0.544580039	12	0.011059093	1489	0.975462898	0.996579628	0.200552919	12	0.001487995	17636
FAM196A	0.188136354	0.974856983	0.543669438	10	0.011059093	1490	0.678066398	0.996579628	0.156518831	10	0.001487995	18030
TAP1	0.147849892	0.974856983	0.543331012	6	0.011059093	1491	0.393446374	0.900304399	0.492723714	6	0.045610628	7895
DOHH	0.11654867	0.974856983	0.543149161	19	0.011059093	1492	0.985123649	0.996579628	0.128348	19	0.001487995	18176
PTPN5	0.086024106	0.974856983	0.542532438	11	0.011059093	1493	0.974413164	0.996579628	0.130653834	11	0.001487995	18162
CEP57L1	0.129831178	0.974856983	0.542195869	6	0.011059093	1494	0.986237367	0.996579628	0.1406882	6	0.001487995	18124
KIF26A	0.100638371	0.974856983	0.542129736	14	0.011059093	1495	0.990375518	0.996579628	0.237312061	14	0.001487995	17303
RAB34	0.104770889	0.974856983	0.542076234	17	0.011059093	1496	0.254645316	0.81082134	0.295650074	17	0.09107483	5649
RFXAP	0.105837905	0.974856983	0.541405768	13	0.011059093	1497	0.993369299	0.996579628	0.182381459	13	0.001487995	17844
LOC401052	0.231591073	0.974856983	0.540283173	3	0.011059093	1498	0.991716185	0.996579628	0.181931653	3	0.001487995	17847
RWDD3	0.122142259	0.974856983	0.53894999	1	0.011059093	1499	0.171846261	0.755401024	0.157867889	1	0.121822431	4072
OPN4	0.123225524	0.974856983	0.538490965	10	0.011059093	1500	0.545375264	0.984637981	0.127061044	10	0.006723416	10052
KPNB1	0.123823377	0.974856983	0.535063386	17	0.011059093	1501	0.992766126	0.996579628	0.224197383	17	0.001487995	17430
TMEM144	0.088358883	0.974856983	0.532817618	4	0.011059093	1502	0.983996757	0.996579628	0.161659499	4	0.001487995	17995
CASC5	0.091492692	0.974856983	0.532550178	15	0.011059093	1503	0.983798362	0.996579628	0.151478018	15	0.001487995	18055
